tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
284,2018-05-01 13:19:21.9230,2018-05-01 13:24:06.3530,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,16251,Customer,1969,0
272,2018-05-01 13:19:50.4560,2018-05-01 13:24:22.8400,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,27479,Customer,1969,0
1987,2018-05-01 13:23:00.5530,2018-05-01 13:56:08.3130,3182,Yankee Ferry Terminal,40.686931,-74.016966,3182,Yankee Ferry Terminal,40.686931,-74.016966,31159,Subscriber,1988,2
1419,2018-05-01 13:24:23.2670,2018-05-01 13:48:02.6490,3182,Yankee Ferry Terminal,40.686931,-74.016966,3182,Yankee Ferry Terminal,40.686931,-74.016966,20857,Customer,1969,0
1329,2018-05-01 13:25:59.5670,2018-05-01 13:48:08.8020,3182,Yankee Ferry Terminal,40.686931,-74.016966,3182,Yankee Ferry Terminal,40.686931,-74.016966,18985,Customer,1969,0
369,2018-05-01 14:00:57.2500,2018-05-01 14:07:06.8870,3182,Yankee Ferry Terminal,40.686931,-74.016966,3479,Picnic Point,40.68512559515415,-74.02535319328308,33014,Subscriber,1988,2
354,2018-05-01 16:24:16.5640,2018-05-01 16:30:11.1700,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,30641,Subscriber,1994,1
339,2018-05-01 16:24:38.6540,2018-05-01 16:30:18.1320,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,31159,Subscriber,1991,2
589,2018-05-01 16:41:58.3350,2018-05-01 16:51:47.4520,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,28378,Subscriber,1886,1
1442,2018-05-02 11:51:58.9830,2018-05-02 12:16:01.6000,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,33131,Customer,1969,0
1393,2018-05-02 11:52:58.6200,2018-05-02 12:16:12.5150,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,28378,Customer,1969,0
305,2018-05-02 12:10:28.3070,2018-05-02 12:15:34.2400,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,27166,Subscriber,1983,1
1584,2018-05-02 12:32:52.2480,2018-05-02 12:59:16.6650,3182,Yankee Ferry Terminal,40.686931,-74.016966,3182,Yankee Ferry Terminal,40.686931,-74.016966,19068,Customer,1969,0
12078,2018-05-02 12:33:19.3390,2018-05-02 15:54:38.0430,3182,Yankee Ferry Terminal,40.686931,-74.016966,3182,Yankee Ferry Terminal,40.686931,-74.016966,20857,Customer,1969,0
1756,2018-05-02 12:44:53.1770,2018-05-02 13:14:09.6080,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,26711,Customer,1969,0
1735,2018-05-02 12:45:13.2830,2018-05-02 13:14:08.6690,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,30918,Customer,1969,0
364,2018-05-02 13:11:53.2770,2018-05-02 13:17:57.8810,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,18356,Customer,1969,0
372,2018-05-02 13:12:01.8870,2018-05-02 13:18:14.8220,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,28786,Customer,1969,0
4086,2018-05-02 13:53:43.9230,2018-05-02 15:01:50.8360,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,20774,Customer,1969,0
4071,2018-05-02 13:54:35.5640,2018-05-02 15:02:27.2180,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,21183,Customer,1969,0
2129,2018-05-02 14:46:47.6850,2018-05-02 15:22:17.2280,3182,Yankee Ferry Terminal,40.686931,-74.016966,3479,Picnic Point,40.68512559515415,-74.02535319328308,30561,Subscriber,1971,1
2112,2018-05-02 14:47:02.2180,2018-05-02 15:22:14.5020,3182,Yankee Ferry Terminal,40.686931,-74.016966,3479,Picnic Point,40.68512559515415,-74.02535319328308,31308,Subscriber,1983,2
541,2018-05-02 15:50:44.8080,2018-05-02 15:59:45.9650,3182,Yankee Ferry Terminal,40.686931,-74.016966,3479,Picnic Point,40.68512559515415,-74.02535319328308,21089,Customer,1969,0
548,2018-05-02 15:51:18.7360,2018-05-02 16:00:27.7280,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,30820,Subscriber,1951,2
555,2018-05-02 15:51:23.3530,2018-05-02 16:00:39.1130,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,15685,Subscriber,1992,2
1806,2018-05-02 15:56:46.3460,2018-05-02 16:26:52.8680,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,27166,Subscriber,1947,1
236,2018-05-02 16:06:39.6180,2018-05-02 16:10:36.1910,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,30918,Subscriber,1963,2
865,2018-05-02 16:10:16.2300,2018-05-02 16:24:42.0470,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,31081,Subscriber,1985,1
868,2018-05-02 16:10:17.2230,2018-05-02 16:24:46.1320,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,30641,Subscriber,1963,1
861,2018-05-02 16:38:02.4110,2018-05-02 16:52:23.4500,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,30459,Customer,1988,2
1598,2018-05-03 14:37:30.9760,2018-05-03 15:04:09.4030,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,30918,Subscriber,1973,2
1586,2018-05-03 14:37:39.4290,2018-05-03 15:04:05.8420,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,31514,Subscriber,1974,1
1494,2018-05-03 14:39:42.0860,2018-05-03 15:04:36.9800,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,33014,Customer,1969,0
607,2018-05-03 15:59:34.0070,2018-05-03 16:09:41.0850,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,20774,Customer,1969,0
596,2018-05-03 15:59:35.4330,2018-05-03 16:09:31.9900,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,20857,Customer,1969,0
383,2018-05-03 17:14:50.9850,2018-05-03 17:21:14.6910,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,18356,Customer,1969,0
332,2018-05-03 17:15:16.6690,2018-05-03 17:20:48.8480,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,18985,Subscriber,1973,1
